movieInfo,title,star,quote
"
                            导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...;
                            1990 / 美国 / 剧情 奇幻 爱情
                        ;
                                ;
                            ",剪刀手爱德华 / Edward Scissorhands / 幻海奇缘  /  剪刀手爱德华,8.7,浪漫忧郁的成人童话。
"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...;
                            1989 / 美国 / 剧情
                        ;
                                ;
                            ",死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
"
                            导演: Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...;
                            1984 / 意大利 美国 / 犯罪 剧情
                        ;
                                ;
                            ",美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),9.1,往事如烟，无处祭奠。
"
                            导演: Roman Polanski   主演: Adrien Brody / Thomas Kretschmann / Emilia Fox;
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争
                        ;
                                ;
                            ",钢琴家 / The Pianist / 战地琴人  /  钢琴战曲,9.0,音乐能化解仇恨。
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...;
                            2006 / 美国 英国 / 剧情 悬疑 惊悚
                        ;
                                ;
                            ",致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),8.8,孪生蝙蝠侠大战克隆金刚狼。
"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...;
                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
                        ;
                                ;
                            ",狮子王 / The Lion King / 狮子王3D,8.8,动物版《哈姆雷特》。
"
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...;
                            1965 / 美国 / 剧情 爱情 歌舞 家庭 传记
                        ;
                                ;
                            ",音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),8.9,用音乐化解仇恨，让歌声串起美好。
"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...;
                            2006 / 日本 / 剧情 歌舞
                        ;
                                ;
                            ",被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),8.9,以戏谑来戏谑戏谑。
"
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...;
                            1999 / 伊朗 / 剧情 家庭 儿童
                        ;
                                ;
                            ",小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,9.1,奔跑的孩子是天使。
"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...;
                            1994 / 美国 / 剧情 犯罪
                        ;
                                ;
                            ",低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),8.7,故事的高级讲法。
"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...;
                            2008 / 日本 / 剧情
                        ;
                                ;
                            ",入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
"
                            导演: 埃里克.布雷斯 Eric Bress / J. Mackye Gruber   主演: 阿什顿·库彻 A...;
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        ;
                                ;
                            ",蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。
"
                            导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...;
                            2009 / 澳大利亚 / 剧情 爱情 动画
                        ;
                                ;
                            ",玛丽和马克思 / Mary and Max / 巧克力情缘  /  玛丽和麦克斯,8.9,你是我最好的朋友，你是我唯一的朋友 。
"
                            导演: Jonathan Demme   主演: Jodie Foster / Anthony Hopkins / Scott Glenn;
                            1991 / 美国 / 剧情 犯罪 惊悚
                        ;
                                ;
                            ",沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,8.7,安东尼·霍普金斯的顶级表演。
"
                            导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布...;
                            2008 / 美国 / 剧情 爱情 奇幻
                        ;
                                ;
                            ",本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童,8.7,在时间之河里感受溺水之苦。
"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...;
                            1999 / 美国 澳大利亚 / 动作 科幻
                        ;
                                ;
                            ",黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),8.7,视觉革命。
"
                            导演: M. Night Shyamalan   主演: Bruce Willis / Haley Joel Osment / Toni...;
                            1999 / 美国 / 剧情 悬疑 惊悚
                        ;
                                ;
                            ",第六感 / The Sixth Sense / 灵异第六感  /  鬼眼,8.8,深入内心的恐怖，出人意料的结局。
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...;
                            1998 / 美国 / 剧情 历史 战争
                        ;
                                ;
                            ",拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),8.8,美利坚精神输出大片No1.
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 张国荣 Les...;
                            1993 / 香港 / 喜剧 古装
                        ;
                                ;
                            ",射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),8.7,百看不厌。 
"
                            导演: Tim Burton   主演: Ewan McGregor / Albert Finney / Billy Crudup;
                            2003 / 美国 / 剧情 家庭 奇幻 冒险
                        ;
                                ;
                            ",大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
"
                            导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子;
                            1997 / 日本 / 动画 冒险 奇幻
                        ;
                                ;
                            ",幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,8.8,人与自然的战争史诗。
"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...;
                            2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部
                        ;
                                ;
                            ",让子弹飞 / 让子弹飞一会儿  /  火烧云,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
